"","...1","ID","nomb_reg","nomb_prov","nomb_dist","longitud","latitud","tipo_refug","num_colo_c","num_colo_b","num_vamp_c","num_vamp_b"
"1",72,72,"APURIMAC","ANDAHUAYLAS","SAN MIGUEL DE CHACCRAMPA",-73.613076,-14.016316,"NATURAL","0","1","0","12"
"2",31,31,"APURIMAC","ABANCAY","LAMBRAMA",-72.920569,-13.767,"NATURAL","0","1","0","2"
"3",196,198,"APURIMAC","ANDAHUAYLAS","PACOBAMBA",-73.011367,-13.566056,"ARTIFICIAL","2","1","2","1"
"4",80,80,"APURIMAC","GRAU","HUAYLLATI",-72.492468,-13.903169,"NATURAL","0","10","0","10"
"5",578,580,"APURIMAC","Aymaraes","TAPAIRIHUA",-73.13571,-14.13152,"NATURAL","NA","NA","NA","NA"
"6",260,262,"APURIMAC","ANDAHUAYLAS","PACOBAMBA",-73.086692,-13.598059,"ARTIFICIAL","1","1","1","1"
"7",278,280,"APURIMAC","GRAU","CURPAHUASI",-72.61781,-14.06355,"NATURAL","0","1","0","6"
"8",239,241,"APURIMAC","ANDAHUAYLAS","HUANCARAMA",-72.988759,-13.629988,"NATURAL","1","1","1","1"
"9",250,252,"APURIMAC","AYMARAES","COLCABAMBA",-73.23627,-14.04862,"NATURAL","1","0","150","0"
"10",192,194,"APURIMAC","ABANCAY","PICHIRHUA",-73.01192,-13.7572,"NATURAL","0","9","0","9"
"11",168,170,"APURIMAC","ABANCAY","SAN PEDRO DE CACHORA",-72.803919,-13.508506,"NATURAL","0","2","0","10"
"12",369,371,"APURIMAC","GRAU","GAMARRA",-72.575505,-13.811298,"NATURAL","0","1","0","10"
"13",240,242,"APURIMAC","CHINCHEROS","ONGOY",-73.63607,-13.413622,"NATURAL","0","0","0","0"
"14",107,107,"APURIMAC","ABANCAY","HUANIPACA",-72.894098,-13.509572,"NATURAL","0","1","0","8"
"15",110,110,"APURIMAC","AYMARAES","TAPAIRIHUA",-73.144332,-14.17162,"NATURAL","0","1","0","5"
"16",197,199,"APURIMAC","ANDAHUAYLAS","PACOBAMBA",-73.111147,-13.575162,"ARTIFICIAL","2","3","1","5"
"17",585,587,"APURIMAC","Aymaraes","Soraya",-73.32289,-14.180113,"ARTIFICIAL","NA","NA","NA","NA"
"18",551,553,"APURIMAC","Aymaraes","TAPAIRIHUA",-73.18057,-14.09419,"NATURAL","NA","NA","NA","NA"
"19",331,333,"APURIMAC","ANDAHUAYLAS","KISHUARA",-73.166467,-13.554034,"NATURAL","2","2","20","26"
"20",190,192,"APURIMAC","ABANCAY","PICHIRHUA",-73.164907,-13.967083,"NATURAL","0","3","0","3"
"21",179,181,"APURIMAC","ANDAHUAYLAS","TUMAY HUARACA",-73.593206,-14.066899,"NATURAL","1","1","6","12"
"22",63,63,"APURIMAC","ANDAHUAYLAS","HUANCARAY",-73.559656,-13.733345,"NATURAL","0","1","0","4"
"23",247,249,"APURIMAC","GRAU","GAMARRA",-72.485122,-13.825062,"NATURAL","0","2","0","1"
"24",51,51,"APURIMAC","ANDAHUAYLAS","PACOBAMBA",-73.050913,-13.619689,"NATURAL","0","1","0","4"
"25",140,142,"APURIMAC","GRAU","GAMARRA",-72.564743,-13.794646,"NATURAL","0","1","0","20"
"26",273,275,"APURIMAC","ANDAHUAYLAS","PACOBAMBA",-73.214059,-13.498674,"NATURAL","2","3","40","45"
"27",372,374,"APURIMAC","ANDAHUAYLAS","HUANCARAMA",-73.000378,-13.66648,"ARTIFICIAL","0","1","0","3"
"28",211,213,"APURIMAC","ANDAHUAYLAS","PACUCHA",-73.226124,-13.56763,"ARTIFICIAL","1","1","20","24"
"29",46,46,"APURIMAC","ABANCAY","LAMBRAMA",-72.864048,-13.709098,"NATURAL","0","1","0","5"
"30",38,38,"APURIMAC","ANDAHUAYLAS","ANDARAPA",-73.404121,-13.538303,"ARTIFICIAL","0","2","0","15"
"31",138,140,"APURIMAC","COTABAMBAS","TAMBOBAMBA",-72.190247,-13.769922,"NATURAL","0","1","0","3"
"32",8,8,"APURIMAC","ABANCAY","ABANCAY",-72.875084,-13.700218,"NATURAL","2","1","4","19"
"33",582,584,"APURIMAC","Aymaraes","Caraybamba",-73.13191,-14.39722,"NATURAL","NA","NA","NA","NA"
"34",28,28,"APURIMAC","ABANCAY","LAMBRAMA",-72.885739,-13.723534,"NATURAL","0","1","0","5"
"35",91,91,"APURIMAC","ANDAHUAYLAS","ANDARAPA",-73.423172,-13.481378,"ARTIFICIAL","0","1","0","20"
"36",557,559,"APURIMAC","Cotabambas","Mara",-72.06182,-14.08446,"NATURAL","NA","NA","NA","NA"
"37",41,41,"APURIMAC","COTABAMBAS","COTABAMBAS",-72.247445,-13.697248,"NATURAL","0","1","0","5"
"38",584,586,"APURIMAC","AYMARAES","SAÑAYCA",-73.32487,-14.20326,"ARTIFICIAL","NA","NA","NA","NA"
"39",359,361,"APURIMAC","AYMARAES","LUCRE",-73.22756,-13.94872,"NATURAL","0","1","0","5"
"40",288,290,"APURIMAC","ANDAHUAYLAS","PACOBAMBA",-73.053954,-13.62153,"ARTIFICIAL","0","1","0","3"
